iter	Logloss
0	0.6557866967
1	0.6235387518
2	0.5973944025
3	0.5751667471
4	0.558637733
5	0.5491798647
6	0.5374557581
7	0.5285980681
8	0.5202855327
9	0.5138481763
10	0.5083147019
11	0.504140466
12	0.4995033195
13	0.4960827212
14	0.4936644074
15	0.490549651
16	0.4878607158
17	0.485752417
18	0.4838331578
19	0.48227682
20	0.4798317213
21	0.4777286437
22	0.4763084785
23	0.4753576615
24	0.4736832491
25	0.4723115624
26	0.4703062222
27	0.4688155452
28	0.4673248179
29	0.4661316495
30	0.4653409554
31	0.4642918418
32	0.4631829124
33	0.4622930774
34	0.4616555187
35	0.4612221862
36	0.4603482398
37	0.4598449065
38	0.4591362781
39	0.4582843452
40	0.4577631702
41	0.4569761296
42	0.4560026122
43	0.4552663786
44	0.4547316276
45	0.4541105726
46	0.4533800914
47	0.4524656741
48	0.4516095799
49	0.4514343791
